id,title,year,duration,genre,rating_imdb,oscar
tt0102926,The Silence of the Lambs,1991,118,"Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller",8.6,0
tt0251355,Pushpaka Vimana,1987,125,"Comedy, Drama",8.6,0
tt0187231,Barking at the Stars,1998,95,"Teen Comedy, Comedy, Romance",8.6,0
tt0353496,Godfather,1991,150,"Comedy, Drama, Romance",8.6,0
tt0120815,Saving Private Ryan,1998,169,"Epic, Period Drama, War Epic, Drama, War",8.6,0
tt0114369,Se7en,1995,127,"Cop Drama, Hardboiled Detective, Legal Drama, Police Procedural, Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller",8.6,1
tt0367495,Anbe Sivam,2003,160,"Adventure, Comedy, Drama",8.6,0
tt24807190,BTS: Yet to Come in Cinemas,2023,104,"Documentary, Music",8.6,0
tt29293520,Fighting Spirit: A Combat Chaplain's Journey,2024,0,Documentary,8.6,0
tt3249794,Restoring Tomorrow,2016,82,Documentary,8.6,0
tt0308513,Long Da Lishkara,1983,143,"Drama, Romance",8.6,0
tt2933292,Beyond Sight: The Derek Rabelo Story,2014,84,"Adventure, Documentary, Family, Sport",8.6,0
tt0380275,Concert for George,2003,140,"Documentary, Music",8.6,0
tt0278501,In Harihar Nagar,1990,133,"Comedy, Crime, Mystery, Thriller",8.6,0
tt10160742,National Theater Live: Cyrano de Bergerac,2019,160,"Drama, Romance",8.6,0
tt0245429,Spirited Away,2001,124,"Anime, ComingofAge, Fairy Tale, HandDrawn Animation, Quest, Supernatural Fantasy, Adventure, Animation, Family, Fantasy",8.6,0
tt0103064,Terminator 2: Judgment Day,1991,137,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian SciFi, SciFi Epic, Time Travel, Action, Adventure, SciFi",8.6,0
tt32260498,GHOST: Rite Here Rite Now,2024,145,Music,8.6,0
tt0118799,Life Is Beautiful,1997,116,"Period Drama, Tragedy, Tragic Romance, Comedy, Drama, Romance, War",8.6,0
tt28070202,Queen of the Ring,2024,130,"Biography, Drama, Sport",8.6,0
tt4633036,Generation Found,2016,85,Documentary,8.6,0
tt9205986,You Are Here: A Come From Away Story,2018,84,Documentary,8.6,0
tt10765852,Metallica & San Francisco Symphony - S&M2,2019,150,"Documentary, Music",8.6,0
tt1954955,The Money Masters,1996,210,Documentary,8.6,0
tt0317248,City of God,2002,130,"Caper, ComingofAge, Gangster, Crime, Drama",8.6,4
tt29354040,Renaissance: A Film by Beyoncé,2023,169,"Concert, Music Documentary, Documentary, Music",8.6,0
tt4139928,The Legend of Maula Jatt,2022,153,"Action, Drama, Fantasy, History, Thriller",8.6,0
tt0087349,"Blue Mountains, or Unbelievable Story",1983,97,"Satire, Comedy, Drama",8.6,0
tt29629778,Omar and Cedric: If This Ever Gets Weird,2023,127,"Documentary, Music",8.6,0
tt0103767,Baraka,1992,96,"Faith  Spirituality Documentary, Travel Documentary, Documentary",8.5,0
tt0482571,The Prestige,2006,130,"Period Drama, Steampunk, Tragedy, Drama, Mystery, SciFi, Thriller",8.5,2
tt0220861,The Winners,1997,85,Documentary,8.5,0
tt10378492,Uncharitable,2023,90,Documentary,8.5,0
tt2582802,Whiplash,2014,106,"Psychological Drama, Drama, Music",8.5,0
tt9106768,Michael Jackson: Smooth Criminal (II),1988,48,"Action, Crime, Fantasy, Music, SciFi, Thriller",8.5,0
tt20850406,Sita Ramam,2022,163,"Action, Drama, Mystery, Romance",8.5,0
tt10160700,Russ Taff: I Still Believe,2018,104,Documentary,8.5,0
tt0172495,Gladiator,2000,155,"Action Epic, Adventure Epic, Epic, Period Drama, Sword  Sandal, Action, Adventure, Drama",8.5,0
tt1303821,Whiz Kids,2009,82,Documentary,8.5,0
tt0114814,The Usual Suspects,1995,106,"Gangster, Heist, Psychological Drama, Psychological Thriller, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller",8.5,0
tt0095765,Cinema Paradiso,1988,174,"ComingofAge, Drama, Romance",8.5,0
tt0102369,Mother,1990,108,Drama,8.5,0
tt16378034,Tantura,2022,94,"History Documentary, Military Documentary, Documentary, History",8.5,0
tt0253474,The Pianist,2002,150,"Docudrama, Epic, Period Drama, Tragedy, War Epic, Biography, Drama, Music, War",8.5,0
tt0140377,Michael Madana Kama Rajan,1990,162,Comedy,8.5,0
tt1152758,Dear Zachary: A Letter to a Son About His Father,2008,95,"Biography, Crime, Documentary, Drama",8.5,0
tt0407887,The Departed,2006,151,"Cop Drama, Epic, Gangster, Crime, Drama, Thriller",8.5,0
tt0192377,The Knife,1999,135,Drama,8.5,0
tt0095327,Grave of the Fireflies,1988,88,"Adult Animation, Anime, HandDrawn Animation, Period Drama, Animation, Drama, War",8.5,0
tt0101649,Thalapathi,1991,157,"Action, Crime, Drama",8.5,0
