id,title,year,duration,genre,rating_imdb,oscar
tt29293520,Fighting Spirit: A Combat Chaplain's Journey,2024,0,Documentary,8.6,0
tt0102926,The Silence of the Lambs,1991,118,"Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller",8.6,0
tt0118799,Life Is Beautiful,1997,116,"Period Drama, Tragedy, Tragic Romance, Comedy, Drama, Romance, War",8.6,0
tt1954955,The Money Masters,1996,210,Documentary,8.6,0
tt28070202,Queen of the Ring,2024,130,"Biography, Drama, Sport",8.6,0
tt24807190,BTS: Yet to Come in Cinemas,2023,104,"Documentary, Music",8.6,0
tt0114369,Se7en,1995,127,"Cop Drama, Hardboiled Detective, Legal Drama, Police Procedural, Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller",8.6,1
tt10160742,National Theater Live: Cyrano de Bergerac,2019,160,"Drama, Romance",8.6,0
tt3056888,B.D. în alerta - Vaduve cu termen redus,1971,95,"Action, Comedy, Crime, Mystery",8.6,0
tt0187231,Barking at the Stars,1998,95,"Teen Comedy, Comedy, Romance",8.6,0
tt4633036,Generation Found,2016,85,Documentary,8.6,0
tt2933292,Beyond Sight: The Derek Rabelo Story,2014,84,"Adventure, Documentary, Family, Sport",8.6,0
tt0255306,Kilukkam,1991,155,Comedy,8.6,0
tt0201368,The Broken Landlord,1985,101,"Comedy, Drama",8.6,0
tt0120689,The Green Mile,1999,189,"Period Drama, Prison Drama, Supernatural Fantasy, Tragedy, Crime, Drama, Fantasy, Mystery",8.6,4
tt0123392,Miscellaneous Brigade in the Mountains and at the Sea,1971,100,"Action, Comedy, Crime",8.6,0
tt0237364,Kancher Swarga,1962,137,Drama,8.6,0
tt6246170,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,2016,134,Animation,8.6,0
tt0249188,Thoovanathumbikal,1987,151,"Drama, Romance",8.6,0
tt29629778,Omar and Cedric: If This Ever Gets Weird,2023,127,"Documentary, Music",8.6,0
tt3249794,Restoring Tomorrow,2016,82,Documentary,8.6,0
tt0116860,"Pretty Village, Pretty Flame",1996,115,"Drama, History, War",8.6,0
tt29354040,Renaissance: A Film by Beyoncé,2023,169,"Concert, Music Documentary, Documentary, Music",8.6,0
tt11229886,Les Misérables: The Staged Concert,2019,145,"Drama, History, Musical, Romance, War",8.6,0
tt0056058,Harakiri,1962,133,"Period Drama, Drama, Mystery",8.6,0
tt0076759,Star Wars: Episode IV - A New Hope,1977,121,"Action Epic, Adventure Epic, Fantasy Epic, Quest, SciFi Epic, Space SciFi, Sword  Sorcery, Action, Adventure, Fantasy",8.6,0
tt0087349,"Blue Mountains, or Unbelievable Story",1983,97,"Satire, Comedy, Drama",8.6,0
tt0103064,Terminator 2: Judgment Day,1991,137,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian SciFi, SciFi Epic, Time Travel, Action, Adventure, SciFi",8.6,0
tt0251355,Pushpaka Vimana,1987,125,"Comedy, Drama",8.6,0
tt0271383,A Dog's Will,2000,104,"Satire, Slapstick, Comedy, Drama, Fantasy",8.6,0
tt0069090,Pink Floyd: Live at Pompeii,1972,92,"Concert, Documentary, Music",8.6,0
tt0245429,Spirited Away,2001,124,"Anime, ComingofAge, Fairy Tale, HandDrawn Animation, Quest, Supernatural Fantasy, Adventure, Animation, Family, Fantasy",8.6,0
tt0252489,The Chaos Class Is on Vacation,1977,97,Comedy,8.6,0
tt4139928,The Legend of Maula Jatt,2022,153,"Action, Drama, Fantasy, History, Thriller",8.6,0
tt4228378,Shhh!,1993,135,"Horror, Mystery, Thriller",8.6,0
tt0317248,City of God,2002,130,"Caper, ComingofAge, Gangster, Crime, Drama",8.6,4
tt0367495,Anbe Sivam,2003,160,"Adventure, Comedy, Drama",8.6,0
tt0123390,The Miscellaneous Brigade on the Watch,1971,95,"Action, Comedy, Crime",8.6,0
tt0308513,Long Da Lishkara,1983,143,"Drama, Romance",8.6,0
tt9106768,Michael Jackson: Smooth Criminal (II),1988,48,"Action, Crime, Fantasy, Music, SciFi, Thriller",8.5,0
tt0249047,Namukku Parkkan Munthiri Thoppukal,1986,137,Romance,8.5,0
tt0079221,Gol Maal,1979,120,"Comedy, Romance",8.5,0
tt0192377,The Knife,1999,135,Drama,8.5,0
tt0101649,Thalapathi,1991,157,"Action, Crime, Drama",8.5,0
tt0172495,Gladiator,2000,155,"Action Epic, Adventure Epic, Epic, Period Drama, Sword  Sandal, Action, Adventure, Drama",8.5,0
tt0253991,Zübük,1980,88,Comedy,8.5,0
tt6751668,Parasite,2019,132,"Dark Comedy, Korean Drama, Psychological Thriller, Tragedy, Drama, Thriller",8.5,0
tt2044774,The High,1985,118,"Comedy, Drama",8.5,0
tt0114814,The Usual Suspects,1995,106,"Gangster, Heist, Psychological Drama, Psychological Thriller, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller",8.5,0
tt0095327,Grave of the Fireflies,1988,88,"Adult Animation, Anime, HandDrawn Animation, Period Drama, Animation, Drama, War",8.5,0
tt1424432,Senna,2010,106,"Motorsport, Sports Documentary, Biography, Documentary, Sport",8.5,0
tt7499368,Fragments of Truth,2018,75,Documentary,8.5,0
tt0140377,Michael Madana Kama Rajan,1990,162,Comedy,8.5,0
tt0088338,The Elusive Summer of '68,1984,91,"Satire, Comedy, Drama, Romance",8.5,0
